hotel_id,hotel_name,city,total_rooms
H001,Delhi Hotel 1,Delhi,74
H002,Bengaluru Hotel 2,Bengaluru,71
H003,Bengaluru Hotel 3,Bengaluru,95
H004,Hyderabad Hotel 4,Hyderabad,51
H005,Mumbai Hotel 5,Mumbai,71
H006,Delhi Hotel 6,Delhi,117
H007,Delhi Hotel 7,Delhi,52
H008,Delhi Hotel 8,Delhi,93
H009,Chennai Hotel 9,Chennai,53
H010,Delhi Hotel 10,Delhi,78
H011,Hyderabad Hotel 11,Hyderabad,59
H012,Bengaluru Hotel 12,Bengaluru,58
H013,Delhi Hotel 13,Delhi,69
H014,Mumbai Hotel 14,Mumbai,41
H015,Hyderabad Hotel 15,Hyderabad,75
H016,Chennai Hotel 16,Chennai,57
H017,Delhi Hotel 17,Delhi,106
H018,Bengaluru Hotel 18,Bengaluru,42
H019,Bengaluru Hotel 19,Bengaluru,110
H020,Mumbai Hotel 20,Mumbai,88
H021,Bengaluru Hotel 21,Bengaluru,94
H022,Mumbai Hotel 22,Mumbai,48
H023,Mumbai Hotel 23,Mumbai,105
H024,Mumbai Hotel 24,Mumbai,74
H025,Chennai Hotel 25,Chennai,112
H026,Mumbai Hotel 26,Mumbai,108
H027,Hyderabad Hotel 27,Hyderabad,112
H028,Chennai Hotel 28,Chennai,72
H029,Delhi Hotel 29,Delhi,70
H030,Chennai Hotel 30,Chennai,68
H031,Chennai Hotel 31,Chennai,104
H032,Hyderabad Hotel 32,Hyderabad,115
H033,Bengaluru Hotel 33,Bengaluru,95
H034,Hyderabad Hotel 34,Hyderabad,100
H035,Delhi Hotel 35,Delhi,84
H036,Mumbai Hotel 36,Mumbai,43
H037,Mumbai Hotel 37,Mumbai,67
H038,Mumbai Hotel 38,Mumbai,99
H039,Delhi Hotel 39,Delhi,105
H040,Delhi Hotel 40,Delhi,40
H041,Chennai Hotel 41,Chennai,86
H042,Bengaluru Hotel 42,Bengaluru,83
H043,Mumbai Hotel 43,Mumbai,68
H044,Delhi Hotel 44,Delhi,64
H045,Mumbai Hotel 45,Mumbai,106
H046,Hyderabad Hotel 46,Hyderabad,75
H047,Bengaluru Hotel 47,Bengaluru,60
H048,Delhi Hotel 48,Delhi,93
H049,Delhi Hotel 49,Delhi,58
H050,Bengaluru Hotel 50,Bengaluru,114
H001,Delhi Hotel 1,Delhi,74
H002,Bengaluru Hotel 2,Bengaluru,71
H003,Bengaluru Hotel 3,Bengaluru,95
H004,Hyderabad Hotel 4,Hyderabad,51
H005,Mumbai Hotel 5,Mumbai,71
H006,Delhi Hotel 6,Delhi,117
H007,Delhi Hotel 7,Delhi,52
H008,Delhi Hotel 8,Delhi,93
H009,Chennai Hotel 9,Chennai,53
H010,Delhi Hotel 10,Delhi,78
H011,Hyderabad Hotel 11,Hyderabad,59
H012,Bengaluru Hotel 12,Bengaluru,58
H013,Delhi Hotel 13,Delhi,69
H014,Mumbai Hotel 14,Mumbai,41
H015,Hyderabad Hotel 15,Hyderabad,75
H016,Chennai Hotel 16,Chennai,57
H017,Delhi Hotel 17,Delhi,106
H018,Bengaluru Hotel 18,Bengaluru,42
H019,Bengaluru Hotel 19,Bengaluru,110
H020,Mumbai Hotel 20,Mumbai,88
H021,Bengaluru Hotel 21,Bengaluru,94
H022,Mumbai Hotel 22,Mumbai,48
H023,Mumbai Hotel 23,Mumbai,105
H024,Mumbai Hotel 24,Mumbai,74
