payment_id,booking_id,payment_status,paid_amount,payment_date
P0000001,B030946,Paid,16201,2025-09-06
P0000002,B025453,Paid,6058,2025-11-20
P0000003,B030936,Paid,6165,2025-08-17
P0000004,B007895,Paid,19733,2025-09-13
P0000005,B012209,Paid,7856,2025-08-19
P0000006,B027617,Paid,5627,2025-11-28
P0000007,B005596,Paid,20028,2025-12-13
P0000008,B060474,Failed,0,2025-08-05
P0000009,B041508,Paid,5915,2025-10-03
P0000010,B011814,Paid,19499,2025-09-27
P0000011,B036304,Paid,17607,2025-09-06
P0000012,B058937,Failed,0,2025-07-30
P0000013,B016745,Paid,4005,2025-08-30
P0000014,B050829,Paid,7354,2025-11-27
P0000015,B019027,Paid,11939,2025-07-11
P0000016,B066590,Paid,11002,2025-07-15
P0000017,B009189,Failed,0,2025-07-11
P0000018,B061520,Failed,0,2025-12-19
P0000019,B048996,Paid,17855,2025-10-13
P0000020,B034171,Paid,8185,2025-08-24
P0000021,B013819,Paid,24899,2025-11-16
P0000022,B061910,Paid,18621,2025-09-22
P0000023,B000490,Paid,21034,2025-12-15
P0000024,B071215,Paid,23402,2025-12-10
P0000025,B027073,Paid,6174,2025-08-19
P0000026,B054102,Paid,21831,2025-12-13
P0000027,B006877,Paid,5022,2025-07-05
P0000028,B008294,Paid,22799,2025-10-22
P0000029,B016998,Failed,0,2025-11-04
P0000030,B018661,Paid,15098,2025-12-02
P0000031,B012621,Paid,14280,2025-08-27
P0000032,B032391,Paid,6422,2025-12-29
P0000033,B020265,Paid,7324,2025-07-11
P0000034,B054019,Paid,23978,2025-09-13
P0000035,B049753,Paid,18748,2025-08-24
P0000036,B048640,Paid,9867,2025-11-19
P0000037,B063286,Paid,6888,2025-11-19
P0000038,B062767,Paid,10312,2025-09-24
P0000039,B036154,Failed,0,2025-12-07
P0000040,B058927,Paid,5004,2025-07-08
P0000041,B051722,Paid,15624,2025-11-02
P0000042,B051479,Failed,0,2025-12-08
P0000043,B052480,Paid,9641,2025-12-20
P0000044,B071603,Paid,4430,2025-12-24
P0000045,B037380,Paid,18012,2025-10-01
P0000046,B002626,Paid,9091,2025-12-20
P0000047,B048147,Failed,0,2025-10-24
P0000048,B051318,Failed,0,2025-09-09
P0000049,B036607,Paid,15456,2025-10-30
P0000050,B024560,Paid,15818,2025-08-21
P0000051,B030803,Paid,3084,2025-10-23
P0000052,B042320,Paid,9516,2025-07-30
P0000053,B039223,Paid,12328,2025-10-12
P0000054,B047481,Paid,24810,2025-08-31
P0000055,B001007,Paid,11444,2025-07-05
P0000056,B024306,Paid,18387,2025-07-30
P0000057,B029198,Paid,4081,2025-10-06
P0000058,B020246,Paid,20976,2025-08-23
P0000059,B046399,Paid,16112,2025-07-03
P0000060,B027483,Paid,12268,2025-10-08
P0000061,B055502,Paid,4607,2025-12-10
P0000062,B050633,Paid,5675,2025-11-20
P0000063,B056380,Paid,5400,2025-12-10
P0000064,B014319,Paid,4704,2025-08-17
P0000065,B015481,Paid,9527,2025-09-20
P0000066,B056427,Paid,18396,2025-09-16
P0000067,B043090,Paid,11169,2025-07-05
P0000068,B043580,Paid,8382,2025-12-19
P0000069,B002377,Paid,17860,2025-11-20
P0000070,B054272,Paid,18559,2025-09-30
P0000071,B020890,Paid,19018,2025-08-04
P0000072,B047277,Paid,17579,2025-10-18
P0000073,B007894,Paid,5169,2025-11-21
P0000074,B040887,Paid,3406,2025-11-23
P0000075,B018589,Paid,17796,2025-08-02
P0000076,B041543,Paid,12032,2025-09-07
P0000077,B009324,Paid,21565,2025-07-07
P0000078,B052047,Paid,23794,2025-10-11
P0000079,B036725,Paid,23076,2025-12-16
P0000080,B042659,Paid,5463,2025-11-02
P0000081,B029691,Failed,0,2025-12-11
P0000082,B024711,Paid,12250,2025-10-15
P0000083,B007350,Paid,24289,2025-10-24
P0000084,B016595,Paid,10512,2025-08-18
