hotel_id,date,available_rooms,occupied_rooms
H001,2025-09-20,74,52
H002,2025-11-27,71,54
H003,2025-09-28,95,69
H004,2025-10-10,51,41
H005,2025-12-20,71,50
H006,2025-07-12,117,91
H007,2025-11-12,52,45
H008,2025-10-13,93,75
H009,2025-12-16,53,44
H010,2025-08-15,78,58
H011,2025-08-11,59,40
H012,2025-11-30,58,41
H013,2025-07-22,69,55
H014,2025-09-22,41,34
H015,2025-12-11,75,56
H016,2025-08-17,57,42
H017,2025-11-19,106,78
H018,2025-11-02,42,37
H019,2025-07-04,110,81
H020,2025-09-30,88,62
H021,2025-09-09,94,69
H022,2025-11-20,48,39
H023,2025-07-03,105,84
H024,2025-11-28,74,57
H025,2025-07-25,112,84
H026,2025-12-10,108,83
H027,2025-11-14,112,89
H028,2025-11-14,72,53
H029,2025-12-31,70,55
H030,2025-09-17,68,57
H031,2025-09-11,104,75
H032,2025-08-07,115,86
H033,2025-10-20,95,76
H034,2025-07-01,100,74
H035,2025-08-10,84,61
H036,2025-11-18,43,37
H037,2025-11-30,67,50
H038,2025-08-04,99,76
H039,2025-10-07,105,80
H040,2025-07-19,40,26
H041,2025-11-30,86,67
H042,2025-08-13,83,64
H043,2025-11-28,68,49
H044,2025-08-22,64,49
H045,2025-08-04,106,82
H046,2025-07-19,75,57
H047,2025-12-22,60,48
H048,2025-08-09,93,66
H049,2025-11-26,58,49
H050,2025-10-22,114,85
H001,2025-10-19,74,55
H002,2025-07-04,71,49
H003,2025-07-28,95,73
H004,2025-09-14,51,42
H005,2025-09-07,71,59
H006,2025-08-13,117,88
H007,2025-09-10,52,45
H008,2025-11-29,93,68
H009,2025-12-27,53,44
H010,2025-07-26,78,63
H011,2025-12-30,59,48
H012,2025-10-28,58,43
H013,2025-08-06,69,57
H014,2025-07-28,41,26
H015,2025-07-27,75,56
H016,2025-12-10,57,46
H017,2025-12-12,106,85
H018,2025-07-07,42,28
H019,2025-09-23,110,88
H020,2025-10-31,88,63
H021,2025-11-30,94,72
H022,2025-08-10,48,40
H023,2025-12-18,105,77
H024,2025-07-12,74,55
H025,2025-07-20,112,83
H026,2025-07-12,108,82
H027,2025-08-16,112,87
H028,2025-10-13,72,59
H029,2025-12-10,70,51
H030,2025-11-16,68,53
H031,2025-08-11,104,84
H032,2025-09-29,115,89
H033,2025-09-03,95,71
H034,2025-08-13,100,79
H035,2025-07-26,84,66
H036,2025-10-22,43,28
H037,2025-08-05,67,55
H038,2025-11-13,99,80
H039,2025-08-15,105,76
H040,2025-11-05,40,30
H041,2025-07-28,86,69
H042,2025-09-15,83,63
H043,2025-11-07,68,52
H044,2025-10-24,64,47
H045,2025-07-13,106,85
H046,2025-11-21,75,52
H047,2025-09-30,60,48
H048,2025-10-04,93,76
H049,2025-07-17,58,47
H050,2025-08-24,114,83
H001,2025-11-27,74,53
H002,2025-09-17,71,51
H003,2025-12-26,95,69
H004,2025-10-26,51,42
H005,2025-08-20,71,56
H006,2025-08-22,117,90
H007,2025-09-25,52,37
H008,2025-09-22,93,68
H009,2025-12-17,53,45
H010,2025-10-03,78,57
H011,2025-11-29,59,44
H012,2025-11-17,58,49
H013,2025-07-05,69,48
H014,2025-10-08,41,31
H015,2025-08-09,75,58
H016,2025-11-28,57,45
H017,2025-08-10,106,82
H018,2025-08-25,42,37
H019,2025-09-11,110,84
H020,2025-11-23,88,64
H021,2025-10-02,94,75
H022,2025-07-29,48,34
H023,2025-09-27,105,84
H024,2025-12-26,74,60
H025,2025-07-28,112,86
H026,2025-08-13,108,87
H027,2025-11-16,112,86
H028,2025-09-07,72,53
H029,2025-10-02,70,50
H030,2025-10-05,68,50
H031,2025-08-25,104,78
H032,2025-09-23,115,82
H033,2025-08-20,95,68
H034,2025-12-06,100,80
H035,2025-08-17,84,59
H036,2025-11-14,43,38
H037,2025-12-01,67,48
H038,2025-09-24,99,75
H039,2025-11-08,105,79
H040,2025-10-17,40,25
H041,2025-07-21,86,61
H042,2025-08-21,83,58
H043,2025-12-21,68,53
H044,2025-10-29,64,48
H045,2025-10-29,106,80
H046,2025-11-01,75,61
H047,2025-11-13,60,49
H048,2025-11-28,93,75
H049,2025-12-13,58,49
H050,2025-08-13,114,84
H001,2025-09-07,74,55
H002,2025-09-16,71,58
H003,2025-09-21,95,74
H004,2025-12-10,51,40
H005,2025-08-06,71,54
H006,2025-10-30,117,89
H007,2025-08-07,52,39
H008,2025-10-24,93,72
H009,2025-10-26,53,41
H010,2025-07-08,78,61
H011,2025-07-26,59,50
H012,2025-10-21,58,40
H013,2025-10-07,69,52
H014,2025-08-02,41,28
H015,2025-09-18,75,55
H016,2025-09-08,57,42
H017,2025-11-30,106,80
H018,2025-07-06,42,33
H019,2025-08-01,110,80
H020,2025-12-05,88,68
H021,2025-07-21,94,71
H022,2025-08-05,48,36
H023,2025-08-11,105,79
H024,2025-07-28,74,57
H025,2025-07-27,112,84
H026,2025-07-21,108,80
H027,2025-11-29,112,80
H028,2025-07-25,72,53
H029,2025-09-30,70,50
H030,2025-10-10,68,57
H031,2025-09-02,104,74
H032,2025-08-01,115,90
H033,2025-07-27,95,69
H034,2025-08-31,100,76
H035,2025-11-14,84,65
H036,2025-09-29,43,38
H037,2025-12-07,67,47
H038,2025-08-23,99,76
H039,2025-12-18,105,78
H040,2025-08-21,40,32
H041,2025-08-25,86,68
H042,2025-12-08,83,62
H043,2025-09-05,68,56
H044,2025-07-18,64,50
H045,2025-10-14,106,81
H046,2025-10-21,75,55
H047,2025-09-02,60,46
H048,2025-09-03,93,66
H049,2025-07-14,58,47
H050,2025-11-28,114,83
H001,2025-07-02,74,59
H002,2025-10-08,71,54
H003,2025-07-18,95,77
H004,2025-08-24,51,36
H005,2025-10-30,71,53
H006,2025-12-20,117,85
H007,2025-08-06,52,44
H008,2025-07-13,93,75
H009,2025-09-02,53,40
H010,2025-07-24,78,61
H011,2025-08-21,59,45
H012,2025-07-24,58,42
H013,2025-07-31,69,48
H014,2025-12-15,41,28
H015,2025-10-27,75,52
H016,2025-10-29,57,44
H017,2025-08-31,106,82
H018,2025-09-13,42,33
H019,2025-07-29,110,80
H020,2025-10-04,88,65
H021,2025-12-08,94,71
H022,2025-07-17,48,37
H023,2025-07-12,105,83
H024,2025-08-28,74,55
H025,2025-07-17,112,90
H026,2025-07-14,108,80
H027,2025-09-18,112,81
H028,2025-11-01,72,53
H029,2025-12-28,70,53
H030,2025-07-22,68,51
H031,2025-09-18,104,81
H032,2025-11-28,115,88
H033,2025-12-30,95,71
H034,2025-12-04,100,71
H035,2025-09-18,84,67
H036,2025-12-20,43,28
H037,2025-10-24,67,46
H038,2025-12-06,99,70
H039,2025-07-17,105,83
H040,2025-12-28,40,31
H041,2025-10-09,86,65
H042,2025-08-01,83,64
H043,2025-09-02,68,55
H044,2025-11-18,64,48
H045,2025-08-16,106,78
H046,2025-10-06,75,60
H047,2025-07-10,60,51
H048,2025-09-09,93,69
H049,2025-10-14,58,47
H050,2025-12-12,114,86
H001,2025-07-04,74,56
H002,2025-10-01,71,52
H003,2025-09-22,95,72
H004,2025-10-07,51,42
H005,2025-09-03,71,58
H006,2025-09-30,117,94
H007,2025-08-01,52,41
H008,2025-12-13,93,74
H009,2025-08-31,53,35
H010,2025-08-08,78,62
H011,2025-11-25,59,50
H012,2025-10-05,58,46
H013,2025-11-27,69,48
H014,2025-09-10,41,33
H015,2025-10-16,75,62
H016,2025-12-11,57,46
H017,2025-11-28,106,76
H018,2025-07-26,42,28
H019,2025-12-05,110,82
H020,2025-11-17,88,64
H021,2025-07-04,94,75
H022,2025-11-03,48,37
H023,2025-08-01,105,82
H024,2025-07-14,74,53
H025,2025-11-24,112,80
H026,2025-08-14,108,84
H027,2025-11-06,112,82
H028,2025-07-10,72,58
H029,2025-11-15,70,53
H030,2025-09-13,68,55
H031,2025-10-10,104,80
H032,2025-11-06,115,91
H033,2025-07-17,95,68
H034,2025-09-19,100,78
H035,2025-10-12,84,64
H036,2025-12-18,43,32
H037,2025-09-13,67,52
H038,2025-09-06,99,80
H039,2025-07-30,105,84
H040,2025-07-31,40,31
